Disease,Symptoms,Causes,Effects,Medicines,Doctor Name,Hospital Name,Specialist,Doctor Age,Doctor Location
Psoriasis,"Red patches of skin covered with silvery scales, dry and cracked skin","Immune system response, genetics","Skin infections, joint problems (psoriatic arthritis), impact on quality of life","Topical treatments, phototherapy, systemic medications (biologics, methotrexate)",Dr. Laura Wright,Dermatology Clinic,Dermatologist,41,"Atlanta, GA"
Lyme Disease,"Fever, headache, fatigue, skin rash (erythema migrans)",Borrelia burgdorferi bacteria transmitted by tick bites,"Joint pain, neurological problems, heart issues","Antibiotics (Doxycycline, Amoxicillin), supportive care",Dr. Michael Ross,Infectious Disease Clinic,Infectious Disease Specialist,44,"San Francisco, CA"
Celiac Disease,"Diarrhea, bloating, gas, fatigue, anemia",Autoimmune response to gluten,"Malnutrition, intestinal damage, increased risk of other autoimmune disorders","Gluten-free diet, vitamin and mineral supplements",Dr. Emily Walker,Celiac Center,Gastroenterologist,37,"Seattle, WA"
Epilepsy,"Seizures, temporary confusion, staring spells, uncontrollable jerking movements","Brain injury, genetic factors, developmental disorders","Injury during seizures, psychological issues","Antiepileptic drugs, surgery, ketogenic diet",Dr. David Green,Epilepsy Center,Neurologist,46,"Denver, CO"
Hyperthyroidism,"Weight loss, rapid heartbeat, increased appetite, nervousness",Overproduction of thyroid hormones,"Heart problems, brittle bones, eye problems","Antithyroid medications, beta-blockers, radioactive iodine therapy, surgery",Dr. Jennifer Davis,Endocrine Clinic,Endocrinologist,51,"Chicago, IL"
Hypothyroidism,"Fatigue, weight gain, cold intolerance, constipation",Underproduction of thyroid hormones,"Heart problems, mental health issues, peripheral neuropathy","Levothyroxine, dietary adjustments",Dr. Mark Johnson,Thyroid Center,Endocrinologist,48,"Houston, TX"
Multiple Sclerosis (MS),"Numbness, weakness, vision problems, balance issues",Immune system attack on the central nervous system,"Mobility issues, speech problems, fatigue","Disease-modifying therapies (Interferons, Glatiramer acetate), symptom management drugs",Dr. Rachel Lee,MS Clinic,Neurologist,54,"Miami, FL"
Anemia,"Fatigue, weakness, pale or yellowish skin, shortness of breath","Iron deficiency, vitamin B12 deficiency, chronic diseases","Reduced quality of life, complications in pregnancy, heart problems","Iron supplements, vitamin B12 injections, erythropoiesis-stimulating agents",Dr. Brian Miller,Hematology Center,Hematologist,45,"Los Angeles, CA"
Depression,"Persistent sadness, loss of interest, changes in appetite, sleep disturbances","Genetics, brain chemistry, trauma, stress","Impaired functioning, increased risk of suicide, physical health problems","Antidepressants (SSRIs, SNRIs), psychotherapy, lifestyle changes",Dr. Karen Roberts,Mental Health Clinic,Psychiatrist,43,"Philadelphia, PA"
Schizophrenia,"Delusions, hallucinations, disorganized thinking, social withdrawal","Genetic, environmental factors","Impaired functioning, chronic disability","Antipsychotics (Risperidone, Olanzapine), psychotherapy",Dr. Jessica Brown,Schizophrenia Clinic,Psychiatrist,55,"Denver, CO"
Bipolar Disorder,"Extreme mood swings, manic episodes, depressive episodes","Genetics, chemical imbalances","Disruption in life, risk of suicide, impaired function","Mood stabilizers (Lithium, Valproate), antipsychotics",Dr. Andrew White,Mood Disorders Center,Psychiatrist,49,tirunelveli
Chronic Kidney Disease,"Fatigue, swelling, shortness of breath, nausea","Diabetes, hypertension, infections","Kidney failure, cardiovascular issues, anemia","ACE inhibitors, diuretics, dialysis",Dr. Sarah Lewis,Kidney Health Clinic,Nephrologist,47,thoothukudi
Glaucoma,"Loss of peripheral vision, eye pain, nausea",Increased intraocular pressure,"Vision loss, blindness if untreated","Eye drops (prostaglandin analogs, beta-blockers), surgery",Dr. Laura Smith,Eye Care Center,Ophthalmologist,52,madurai
Macular Degeneration,"Central vision loss, blurred vision","Age-related, genetic factors","Difficulty reading, recognizing faces, driving","Anti-VEGF injections, laser therapy, vitamins",Dr. David Johnson,Retina Clinic,Ophthalmologist,60,kanchipuram
Chronic Fatigue Syndrome,"Persistent fatigue, muscle pain, sleep disturbances","Unknown, possible viral or immune system triggers",Severe impairment in daily activities,"No specific medication; symptom management (antidepressants, pain relievers)",Dr. Nancy Wilson,Fatigue Management Center,Rheumatologist,46,tirpur
Systemic Lupus Erythematosus,"Fatigue, joint pain, rash, fever",Autoimmune disorder,"Organ damage, increased risk of infections","Antimalarials (Hydroxychloroquine), corticosteroids, immunosuppressants",Dr. Angela Clark,Lupus Clinic,Rheumatologist,50,tenkasi
Psoriatic Arthritis,"Joint pain, swelling, psoriasis symptoms",Autoimmune response,"Joint damage, disability","NSAIDs, DMARDs (Methotrexate), biologics",Dr. Brian Adams,Arthritis and Psoriasis Center,Rheumatologist,48,"chicago, IL"
Hepatitis C,"Fatigue, jaundice, abdominal pain, dark urine",Hepatitis C virus,"Liver damage, cirrhosis, liver cancer","Antiviral medications (Sofosbuvir, Ledipasvir)",Dr. Karen Roberts,Liver Health Center,Hepatologist,53,germany
Bacterial Vaginosis,"Abnormal vaginal discharge, odor, itching",Imbalance of vaginal bacteria,"Discomfort, risk of complications in pregnancy","Antibiotics (Metronidazole, Clindamycin)",Dr. Emily Green,Women?s Health Clinic,Gynecologist,41,"Atlanta, GA"
Endometriosis,"Pelvic pain, heavy periods, pain during intercourse",Endometrial tissue outside the uterus,"Infertility, chronic pain","Pain relief (NSAIDs), hormonal therapy, surgery",Dr. Julia White,Endometriosis Center,Gynecologist,49,austria
Fibromyalgia,"Widespread muscle pain, fatigue, sleep disturbances","Unknown, may involve genetics","Chronic pain, fatigue, impact on daily life","Pain relievers, antidepressants, lifestyle changes",Dr. Mark Lewis,Fibromyalgia Clinic,Rheumatologist,52,kovilpatti
Diverticulitis,"Abdominal pain, fever, nausea, constipation",Inflammation of diverticula (pouches in the colon),"Infection, perforation, abscesses","Antibiotics, pain relievers, surgery in severe cases",Dr. Sarah Adams,Digestive Health Center,Gastroenterologist,47,kanchipuram
Prostate Cancer,"Difficulty urinating, blood in urine, pelvic pain","Age, family history, race","Urinary issues, sexual dysfunction, metastasis","Surgery, radiation therapy, hormone therapy",Dr. James Carter,Cancer Care Center,Oncologist,58,"New York, NY"
Testicular Cancer,"Lump in testicle, pain or swelling, lower abdominal pain","Genetic factors, undescended testicle","Metastasis, pain, impact on fertility","Surgery, chemotherapy, radiation therapy",Dr. Robert Turner,Testicular Health Clinic,Oncologist,46,"Boston, MA"
Ovarian Cancer,"Abdominal bloating, pelvic pain, frequent urination","Family history, genetic mutations","Metastasis, impact on reproductive organs","Surgery, chemotherapy, targeted therapy",Dr. Sarah Wilson,Women?s Cancer Center,Oncologist,54,"Chicago, IL"
Cervical Cancer,"Abnormal bleeding, pelvic pain, pain during intercourse",Human papillomavirus (HPV) infection,"Metastasis, impact on reproductive organs","Surgery, radiation therapy, chemotherapy",Dr. Emily Smith,Cervical Health Clinic,Gynecologist,49,"Atlanta, GA"
Skin Cancer,"Changes in skin appearance, new growths, non-healing sores","UV exposure, genetics","Spread to other organs, impact on quality of life","Surgery, radiation therapy, chemotherapy",Dr. David Brown,Dermatology Center,Dermatologist,55,"Los Angeles, CA"
Leukemia,"Fatigue, frequent infections, bleeding or bruising easily","Genetic mutations, radiation exposure","Impaired blood cell production, anemia","Chemotherapy, targeted therapy, bone marrow transplant",Dr. Michael Clark,Leukemia Treatment Clinic,Hematologist,52,"Seattle, WA"
Lymphoma,"Swollen lymph nodes, fever, night sweats, weight loss",Abnormal lymphocyte growth,"Impaired immune function, organ damage","Chemotherapy, radiation therapy, targeted therapy",Dr. Laura Green,Lymphoma Care Center,Oncologist,50,"San Francisco, CA"
Myelodysplastic Syndromes,"Fatigue, frequent infections, bleeding",Abnormal blood cell production,"Anemia, increased risk of leukemia","Blood transfusions, chemotherapy, supportive care",Dr. Jennifer Adams,Blood Disorders Clinic,Hematologist,48,"Houston, TX"
Hemophilia,"Excessive bleeding, joint pain, easy bruising",Genetic mutations affecting clotting factors,"Joint damage, internal bleeding","Clotting factor replacement, supportive care",Dr. Paul Johnson,Hemophilia Treatment Center,Hematologist,46,"Miami, FL"
Sickle Cell Disease,"Pain episodes, anemia, swelling, frequent infections",Genetic mutation affecting hemoglobin,"Pain, organ damage, increased risk of infections","Pain management, hydroxyurea, blood transfusions",Dr. Jessica White,Sickle Cell Center,Hematologist,50,"Chicago, IL"
Thalassemia,"Anemia, fatigue, bone deformities, delayed growth",Genetic mutation affecting hemoglobin production,"Severe anemia, bone deformities","Blood transfusions, iron chelation therapy, bone marrow transplant",Dr. Brian Lewis,Thalassemia Care Center,Hematologist,53,"San Diego, CA"
Wilson?s Disease,"Liver dysfunction, neurological symptoms, psychiatric issues",Genetic mutation affecting copper metabolism,"Liver damage, neurological decline","Chelating agents (D-penicillamine), zinc therapy, liver transplant",Dr. Natalie Brown,Liver and Neuro Clinic,Hepatologist,55,"Boston, MA"
Amyotrophic Lateral Sclerosis (ALS),"Muscle weakness, difficulty speaking or swallowing, respiratory problems","Unknown, possibly genetic","Muscle atrophy, respiratory failure","Riluzole, supportive care, physical therapy",Dr. Thomas Smith,ALS Research Center,Neurologist,57,"San Francisco, CA"
Huntington?s Disease,"Movement disorders, cognitive decline, psychiatric symptoms",Genetic mutation affecting brain cells,Severe motor and cognitive impairment,"No cure; symptom management (antipsychotics, physical therapy)",Dr. Karen Lewis,Huntington?s Clinic,Neurologist,60,"New York, NY"
Marfan Syndrome,"Long limbs, heart problems, vision issues",Genetic mutation affecting connective tissue,"Cardiovascular issues, skeletal abnormalities","Medications for heart issues, surgery for severe cases",Dr. Peter Adams,Marfan Syndrome Clinic,Cardiologist,49,"Houston, TX"
Cystic Fibrosis,"Chronic cough, lung infections, digestive problems",Genetic mutation affecting mucus production,"Lung damage, digestive issues","Respiratory therapies, enzyme supplements, antibiotics",Dr. Emily Green,Cystic Fibrosis Center,Pulmonologist,51,"Miami, FL"
Autoimmune Hepatitis,"Fatigue, jaundice, abdominal pain, joint pain",Autoimmune response targeting liver cells,"Liver damage, cirrhosis","Corticosteroids, immunosuppressants",Dr. Angela Johnson,Autoimmune Liver Clinic,Hepatologist,47,"Los Angeles, CA"
Paget?s Disease of Bone,"Bone pain, deformities, fractures",Abnormal bone remodeling,"Bone pain, deformities, increased fracture risk","Bisphosphonates, pain management, surgery",Dr. Michael White,Bone Health Clinic,Orthopedic Surgeon,54,"San Diego, CA"
Acromegaly,"Enlarged hands/feet, facial changes, joint pain",Excess growth hormone production,"Enlarged organs, joint issues","Surgery, radiation therapy, hormone therapy",Dr. Julia Smith,Endocrine Disorders Clinic,Endocrinologist,48,"Atlanta, GA"
Turner Syndrome,"Short stature, infertility, heart defects",Chromosomal abnormalities,"Growth issues, reproductive issues","Growth hormone therapy, hormone replacement",Dr. Laura Harris,Turner Syndrome Clinic,Endocrinologist,45,"Boston, MA"
Klinefelter Syndrome,"Infertility, reduced muscle mass, learning difficulties",Extra X chromosome in males,"Reduced testosterone, fertility issues","Testosterone replacement therapy, supportive therapies",Dr. Thomas Lewis,Genetic Health Center,Endocrinologist,50,"Seattle, WA"
Williams Syndrome,"Developmental delays, cardiovascular issues, unique personality traits",Genetic deletion affecting connective tissue,"Cardiovascular issues, developmental challenges","Supportive therapies, cardiovascular management",Dr. Emily Carter,Developmental Disorders Clinic,Cardiologist,52,"Chicago, IL"
Rett Syndrome,"Loss of motor skills, repetitive movements, language difficulties",Genetic mutation affecting brain development,Severe cognitive and motor impairment,"Supportive care, medications for symptoms",Dr. Sarah Adams,Pediatric Neurology Clinic,Neurologist,48,"San Francisco, CA"
Prader-Willi Syndrome,"Insatiable hunger, obesity, developmental delays",Genetic deletion on chromosome 15,"Obesity, intellectual disabilities","Hormone therapy, behavioral therapy, dietary management",Dr. Robert Lewis,Metabolic Disorders Clinic,Endocrinologist,51,"Houston, TX"
Angelman Syndrome,"Severe developmental delay, seizures, walking difficulties",Genetic mutation or deletion on chromosome 15,Severe developmental and motor impairment,"Supportive therapies, medications for seizures",Dr. Jessica Clark,Angelman Syndrome Center,Neurologist,49,"Miami, FL"
Dystonia,"Muscle contractions, abnormal postures, tremors","Genetic, neurological disorders","Difficulty with movement, pain","Anticholinergics, botulinum toxin injections, physical therapy",Dr. Laura White,Movement Disorders Clinic,Neurologist,46,"Los Angeles, CA"
Tourette Syndrome,"Repetitive movements or sounds (tics), vocal outbursts","Genetic, neurological factors",Social and occupational difficulties,"Behavioral therapy, medications (antipsychotics, stimulants)",Dr. Emily Johnson,Tourette Clinic,Psychiatrist,43,"Chicago, IL"
Hydrocephalus,"Headache, nausea, vision problems, cognitive decline",Accumulation of cerebrospinal fluid,"Brain damage, cognitive impairment","Surgery to insert a shunt, supportive care",Dr. David Adams,Neurovascular Clinic,Neurosurgeon,54,"San Diego, CA"
Meniere?s Disease,"Vertigo, hearing loss, tinnitus, ear fullness",Inner ear fluid buildup,"Hearing loss, balance issues","Diuretics, anti-nausea drugs, lifestyle changes",Dr. Karen White,Ear and Balance Clinic,Otolaryngologist,49,"Boston, MA"
Bursitis,"Joint pain, swelling, tenderness",Inflammation of bursae (fluid-filled sacs),Pain and reduced joint mobility,"Rest, ice, NSAIDs, corticosteroid injections",Dr. Jessica Smith,Orthopedic Care Center,Orthopedic Surgeon,47,"Atlanta, GA"
Tendinitis,"Pain, swelling, tenderness in tendons",Overuse or injury to tendons,"Pain, reduced mobility","Rest, ice, NSAIDs, physical therapy",Dr. Laura Harris,Sports Medicine Clinic,Orthopedic Surgeon,42,"Denver, CO"
Tennis Elbow,"Pain on the outer elbow, weakness in the arm",Overuse of forearm muscles,"Pain, reduced arm function","Rest, physical therapy, corticosteroid injections",Dr. Michael Carter,Elbow Care Clinic,Orthopedic Surgeon,46,"Houston, TX"
Carpal Tunnel Syndrome,"Numbness, tingling, pain in the hand/wrist",Compression of median nerve,"Hand weakness, pain, reduced grip strength","Wrist splints, corticosteroid injections, surgery",Dr. Sarah White,Hand Care Center,Orthopedic Surgeon,44,"San Francisco, CA"
Plantar Fasciitis,"Heel pain, arch pain, stiffness in the morning",Inflammation of the plantar fascia,"Pain, difficulty walking","Stretching exercises, orthotics, NSAIDs",Dr. Emily Brown,Podiatry Clinic,Podiatrist,41,"Chicago, IL"
Achilles Tendinitis,"Pain and swelling in the heel, stiffness",Overuse or injury to Achilles tendon,"Pain, difficulty walking or running","Rest, ice, physical therapy, corticosteroid injections",Dr. Jessica Adams,Sports Injury Clinic,Orthopedic Surgeon,46,"New York, NY"
Gastritis,"Abdominal pain, nausea, vomiting, loss of appetite",Inflammation of the stomach lining,"Digestive issues, discomfort","Antacids, antibiotics (for H. pylori), proton pump inhibitors",Dr. Robert White,Gastroenterology Center,Gastroenterologist,53,"Los Angeles, CA"
Peptic Ulcer Disease,"Burning stomach pain, bloating, nausea","H. pylori infection, NSAID use","Abdominal pain, bleeding, perforation","Proton pump inhibitors, antibiotics, antacids",Dr. Laura Clark,Ulcer Care Clinic,Gastroenterologist,50,"Miami, FL"
Crohn?s Disease,"Abdominal pain, diarrhea, weight loss, fatigue",Inflammation of the digestive tract,"Intestinal blockages, malnutrition","Anti-inflammatory drugs, immunosuppressants, surgery",Dr. Emily Johnson,Digestive Health Clinic,Gastroenterologist,52,"San Diego, CA"
Ulcerative Colitis,"Abdominal pain, diarrhea with blood, weight loss",Inflammation of the colon,"Increased risk of colon cancer, anemia","Anti-inflammatory drugs, immunosuppressants, surgery",Dr. Karen Brown,Colitis Center,Gastroenterologist,49,"Houston, TX"
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, diarrhea or constipation",Functional gastrointestinal disorder,"Discomfort, altered bowel habits","Fiber supplements, antispasmodics, dietary changes",Dr. James Lewis,IBS Care Center,Gastroenterologist,47,"New York, NY"
Diverticulosis,Often asymptomatic; can lead to diverticulitis,Presence of diverticula in the colon,Can lead to diverticulitis,"High-fiber diet, pain management",Dr. Sarah Wilson,Digestive Health Clinic,Gastroenterologist,45,"Denver, CO"
Gallstones,"Abdominal pain, nausea, vomiting, jaundice",Solid particles in the gallbladder,"Pain, digestive issues, potential for infection","Surgery (cholecystectomy), medications to dissolve stones",Dr. Emily Carter,Gallbladder Health Center,Gastroenterologist,50,"Los Angeles, CA"
Cholecystitis,"Severe abdominal pain, fever, nausea, vomiting",Inflammation of the gallbladder,"Infection, digestive issues","Antibiotics, surgery (cholecystectomy)",Dr. Laura Adams,Gallbladder Care Clinic,Gastroenterologist,47,"San Diego, CA"
Pancreatitis,"Severe abdominal pain, nausea, vomiting, fever",Inflammation of the pancreas,"Digestive issues, potential for organ failure","Pain management, supportive care, treating underlying causes",Dr. Michael Johnson,Pancreatic Care Center,Gastroenterologist,51,"Boston, MA"
Appendicitis,"Abdominal pain, nausea, vomiting, fever",Inflammation of the appendix,"Abdominal pain, risk of rupture","Surgery (appendectomy), antibiotics",Dr. Karen White,Appendicitis Clinic,General Surgeon,45,"Miami, FL"
Celiac Disease,"Diarrhea, bloating, gas, weight loss",Autoimmune response to gluten,"Malabsorption, nutritional deficiencies","Gluten-free diet, nutritional supplements",Dr. Emily Harris,Celiac Disease Clinic,Gastroenterologist,48,"Seattle, WA"
Rheumatic Fever,"Fever, joint pain, heart inflammation, rash",Streptococcal infection,"Heart valve damage, joint issues","Antibiotics, anti-inflammatory drugs",Dr. James Clark,Rheumatic Fever Center,Rheumatologist,52,"Chicago, IL"
Scarlet Fever,"Sore throat, fever, rash, red tongue",Streptococcal infection,"Rash, fever, risk of complications","Antibiotics, supportive care",Dr. Karen Johnson,Pediatric Health Clinic,Pediatrician,44,"Atlanta, GA"
Whooping Cough,"Severe cough with a ?whooping? sound, difficulty breathing",Bordetella pertussis bacteria,"Severe coughing spells, complications in infants","Antibiotics, supportive care",Dr. Robert Smith,Whooping Cough Center,Pediatrician,46,"San Diego, CA"
Tuberculosis (TB),"Coughing up blood, night sweats, weight loss",Mycobacterium tuberculosis,"Lung damage, spread to other organs","Antibiotics (Isoniazid, Rifampin)",Dr. Emily Lewis,TB Treatment Center,Pulmonologist,50,"Houston, TX"
Pertussis,"Severe cough, runny nose, fever, whooping sound",Bordetella pertussis bacteria,"Severe coughing spells, complications in infants","Antibiotics, supportive care",Dr. Jessica White,Respiratory Health Clinic,Pulmonologist,45,"New York, NY"
Tetanus,"Muscle stiffness, lockjaw, difficulty swallowing",Clostridium tetani bacteria,"Muscle spasms, respiratory problems","Antitoxin, antibiotics, muscle relaxants",Dr. Laura Brown,Tetanus Care Clinic,Infectious Disease Specialist,51,"Los Angeles, CA"
Diphtheria,"Sore throat, fever, difficulty breathing, gray membrane in throat",Corynebacterium diphtheriae,"Respiratory obstruction, heart problems","Antibiotics, diphtheria antitoxin",Dr. Michael Carter,Infectious Disease Clinic,Infectious Disease Specialist,48,"Chicago, IL"
Measles,"High fever, rash, cough, runny nose",Measles virus,"Rash, respiratory issues, complications (e.g., pneumonia)","Vaccination, supportive care",Dr. Emily White,Pediatric Infectious Disease Clinic,Pediatrician,42,"Atlanta, GA"
Mumps,"Swelling of salivary glands, fever, headache",Mumps virus,"Swollen glands, possible complications (e.g., orchitis)","Vaccination, supportive care",Dr. Sarah Harris,Salivary Gland Clinic,Pediatrician,47,"Denver, CO"
Rubella (German Measles),"Rash, fever, swollen lymph nodes",Rubella virus,"Rash, joint pain, complications in pregnancy","Vaccination, supportive care",Dr. Karen Lewis,Vaccine Clinic,Pediatrician,45,"San Diego, CA"
Chickenpox,"Itchy rash, fever, fatigue, blisters",Varicella zoster virus,"Itchy rash, risk of complications (e.g., shingles)","Antiviral medications (for severe cases), supportive care",Dr. Jessica Clark,Pediatric Dermatology Clinic,Pediatrician,41,"Miami, FL"
Shingles,"Painful rash, itching, blisters, fever",Reactivation of varicella zoster virus,"Pain, rash, nerve damage","Antiviral medications (Acyclovir, Valacyclovir), pain management",Dr. Laura Smith,Shingles Care Clinic,Dermatologist,49,"Los Angeles, CA"
Cold Sores (Herpes Simplex),"Painful blisters, itching, tingling",Herpes simplex virus,"Pain, discomfort, recurrent outbreaks","Antiviral medications (Acyclovir, Valacyclovir)",Dr. Emily Johnson,Herpes Treatment Clinic,Dermatologist,50,"Houston, TX"
"Hand, Foot, and Mouth Disease","Fever, rash, sores in mouth, rash on hands and feet",Enteroviruses,"Fever, rash, sores, discomfort","Supportive care, pain management",Dr. Michael Brown,Pediatric Infectious Disease Clinic,Pediatrician,46,"Atlanta, GA"
Reye?s Syndrome,"Vomiting, confusion, seizures, liver damage",Association with aspirin use in children with viral infections,"Liver failure, brain damage","Supportive care, treatment of symptoms",Dr. Karen Adams,Pediatric Care Clinic,Pediatrician,47,"Boston, MA"
Infectious Mononucleosis,"Fever, sore throat, swollen lymph nodes, fatigue",Epstein-Barr virus (EBV),"Fatigue, sore throat, swollen lymph nodes","Rest, supportive care",Dr. Laura White,Mononucleosis Care Center,Internist,48,"San Diego, CA"
Multiple Sclerosis,"Numbness, vision problems, muscle weakness",Autoimmune attack on the central nervous system,"Muscle spasms, vision loss, mobility issues","Disease-modifying therapies, corticosteroids",Dr. Sarah Johnson,Neurology Clinic,Neurologist,50,"New York, NY"
Parkinson?s Disease,"Tremors, rigidity, bradykinesia",Degeneration of dopamine-producing neurons,"Motor symptoms, balance issues, cognitive decline","Levodopa, dopamine agonists, physical therapy",Dr. Michael Lee,Movement Disorders Center,Neurologist,55,"Chicago, IL"
Alzheimer?s Disease,"Memory loss, confusion, difficulty with daily tasks",Brain cell degeneration,"Cognitive decline, memory loss","Cholinesterase inhibitors, supportive care",Dr. Karen Davis,Alzheimer?s Clinic,Neurologist,53,"San Francisco, CA"
Epilepsy,"Seizures, confusion, loss of consciousness",Abnormal brain activity,"Seizures, cognitive issues","Antiepileptic drugs, lifestyle changes",Dr. Laura White,Epilepsy Care Center,Neurologist,48,"Los Angeles, CA"
Migraine,"Severe headache, nausea, sensitivity to light/sound","Genetic, environmental factors","Intense pain, nausea, visual disturbances","Pain relievers, preventive medications",Dr. Emily Adams,Headache Clinic,Neurologist,45,"Boston, MA"
Stroke,"Sudden numbness, confusion, difficulty speaking",Blockage or rupture of brain blood vessels,"Brain damage, impaired function","Thrombolytics, anticoagulants, rehabilitation",Dr. Robert Smith,Stroke Care Center,Neurologist,52,"Houston, TX"
Meningitis,"Headache, fever, neck stiffness, sensitivity to light",Infection of the protective membranes of the brain,"Severe headache, confusion, seizures","Antibiotics, antivirals, supportive care",Dr. James Johnson,Infectious Disease Clinic,Infectious Disease Specialist,49,"Atlanta, GA"
Encephalitis,"Fever, headache, confusion, seizures",Viral infection of the brain,"Brain inflammation, neurological issues","Antiviral medications, corticosteroids",Dr. Jessica White,Neurology and Infectious Disease Clinic,"Neurologist, Infectious Disease Specialist",50,"Denver, CO"
Guillain-Barr‚ Syndrome,"Muscle weakness, tingling, paralysis",Autoimmune attack on peripheral nerves,"Muscle weakness, paralysis","Immunoglobulins, plasma exchange",Dr. Michael Harris,Neurology Clinic,Neurologist,47,"Seattle, WA"
